"","start_station_id","latitude","longitude"
"1",239,41.9665,-87.6884
"2",234,41.9616,-87.666
"3",296,41.9401,-87.6455
"4",51,41.8846,-87.6319
"5",66,41.8856,-87.6418
"6",212,41.8899,-87.6343
"7",96,41.8846,-87.6446
"8",38,41.886,-87.6309
"9",117,41.9402,-87.653
"10",181,41.8908,-87.6317
"11",91,41.8834,-87.6412
"12",123,41.9227,-87.6972
"13",36,41.8777,-87.6353
"14",13,41.9324,-87.6527
"15",152,41.9322,-87.6586
"16",133,41.8892,-87.6385
"17",76,41.881,-87.6167
"18",192,41.8793,-87.6399
"19",255,41.8679,-87.623
"20",256,41.9528,-87.65
"21",107,41.8783,-87.6439
"22",305,41.9029,-87.6873
"23",110,41.894,-87.6293
"24",332,41.9331,-87.6478
"25",632,41.9445,-87.6547
"26",258,41.9295,-87.6842
"27",158,41.9126,-87.6814
"28",346,41.8828,-87.6612
"29",307,41.9208,-87.6637
"30",138,41.9046,-87.6406
"31",48,41.8978,-87.6429
"32",84,41.8916,-87.6484
"33",240,41.9542,-87.6544
"34",56,41.8887,-87.6444
"35",217,41.8866,-87.658
"36",92,41.8946,-87.6534
"37",230,41.9433,-87.671
"38",214,41.8912,-87.6769
"39",168,41.8641,-87.6237
"40",481,41.9611,-87.6954
"41",306,41.9585,-87.655
"42",112,41.8837,-87.6487
"43",81,41.8842,-87.6296
"44",174,41.8821,-87.6398
"45",287,41.8803,-87.6352
"46",195,41.8847,-87.6195
"47",194,41.8869,-87.626
"48",199,41.8915,-87.6268
"49",186,41.8918,-87.6588
"50",35,41.8923,-87.612
"51",210,41.9035,-87.6677
"52",178,41.8566,-87.6275
"53",414,41.8703,-87.6395
"54",43,41.884,-87.6247
"55",7,41.8863,-87.6175
"56",72,41.8604,-87.6258
"57",156,41.9365,-87.6475
"58",260,41.9296,-87.7079
"59",499,41.9306,-87.7238
"60",98,41.8827,-87.6325
"61",165,41.9508,-87.6592
"62",344,41.9691,-87.6742
"63",131,41.9394,-87.6684
"64",359,41.9035,-87.6434
"65",302,41.9287,-87.6538
"66",349,41.9291,-87.6491
"67",300,41.9377,-87.6441
"68",364,41.9002,-87.643
"69",111,41.8947,-87.6384
"70",420,41.7943,-87.6015
"71",425,41.7879,-87.5883
"72",406,41.8313,-87.6088
"73",52,41.886,-87.6241
"74",638,41.8781,-87.6398
"75",241,41.8717,-87.651
"76",434,41.8665,-87.6847
"77",644,41.8686,-87.6862
"78",275,41.8652,-87.6665
"79",635,41.8957,-87.6201
"80",251,41.968,-87.65
"81",71,41.8855,-87.6523
"82",233,41.8832,-87.6511
"83",335,41.8314,-87.618
"84",179,41.8246,-87.6168
"85",201,41.8217,-87.6216
"86",185,41.9177,-87.6914
"87",637,41.8956,-87.6721
"88",229,41.9437,-87.664
"89",153,41.9357,-87.6636
"90",597,42.0326,-87.6791
"91",605,42.0529,-87.6734
"92",17,41.9031,-87.6739
"93",374,41.8984,-87.6866
"94",318,41.9542,-87.6644
"95",26,41.8904,-87.6175
"96",39,41.8795,-87.6257
"97",320,41.8722,-87.6615
"98",68,41.8759,-87.6408
"99",301,41.908,-87.6315
"100",340,41.9295,-87.6431
"101",627,41.8949,-87.6323
"102",53,41.8947,-87.6344
"103",220,41.9312,-87.6443
"104",283,41.8782,-87.6319
"105",142,41.8945,-87.6179
"106",58,41.916,-87.6689
"107",77,41.8822,-87.6411
"108",381,41.8798,-87.6861
"109",85,41.901,-87.6238
"110",243,41.963,-87.6848
"111",44,41.8847,-87.6277
"112",353,42.0126,-87.6744
"113",523,42.0209,-87.6651
"114",232,41.9493,-87.6463
"115",426,41.7851,-87.6011
"116",298,41.956,-87.6803
"117",227,41.9482,-87.6639
"118",182,41.9032,-87.6343
"119",118,41.9114,-87.6387
"120",32,41.8746,-87.657
"121",22,41.8695,-87.6555
"122",113,41.9184,-87.6522
"123",176,41.903,-87.6313
"124",506,41.9171,-87.7102
"125",49,41.8813,-87.6295
"126",500,41.9353,-87.7169
"127",290,41.9215,-87.7073
"128",515,42.0192,-87.6736
"129",67,41.9256,-87.6537
"130",331,41.9097,-87.6481
"131",244,41.9547,-87.6739
"132",157,41.9367,-87.6368
"133",164,41.8858,-87.6355
"134",341,41.8661,-87.6073
"135",460,41.9836,-87.6692
"136",47,41.8892,-87.6278
"137",46,41.8999,-87.6344
"138",620,41.8982,-87.6375
"139",20,41.9105,-87.6531
"140",498,41.9384,-87.698
"141",202,41.8575,-87.6463
"142",86,41.8964,-87.661
"143",129,41.8576,-87.6615
"144",33,41.8772,-87.6278
"145",197,41.8821,-87.6251
"146",623,41.8728,-87.624
"147",321,41.8708,-87.6257
"148",57,41.8671,-87.6411
"149",264,41.8868,-87.6223
"150",636,41.89,-87.6366
"151",100,41.8882,-87.6364
"152",325,41.9733,-87.6678
"153",121,41.8026,-87.5904
"154",247,41.7952,-87.5807
"155",324,41.9313,-87.6387
"156",313,41.9259,-87.639
"157",370,41.8542,-87.6192
"158",673,41.9239,-87.6358
"159",116,41.9155,-87.687
"160",511,41.914,-87.7051
"161",628,41.9146,-87.668
"162",140,41.899,-87.6299
"163",24,41.8918,-87.6206
"164",222,41.9202,-87.693
"165",672,41.891,-87.6355
"166",18,41.8831,-87.6373
"167",74,41.8938,-87.6417
"168",343,41.9289,-87.659
"169",624,41.8763,-87.6292
"170",190,41.9288,-87.6639
"171",109,41.8748,-87.6498
"172",191,41.8817,-87.6395
"173",254,41.9544,-87.648
"174",303,41.9455,-87.6464
"175",366,41.8416,-87.6574
"176",312,41.9579,-87.6495
"177",259,41.9185,-87.6974
"178",93,41.9137,-87.6529
"179",94,41.9183,-87.6363
"180",90,41.881,-87.6241
"181",173,41.8969,-87.6217
"182",28,41.9147,-87.6433
"183",27,41.9102,-87.6435
"184",126,41.912,-87.6319
"185",654,41.8831,-87.657
"186",143,41.9222,-87.6389
"187",257,41.9488,-87.6753
"188",97,41.8653,-87.6179
"189",238,41.9614,-87.6762
"190",507,41.9175,-87.7018
"191",242,41.9671,-87.679
"192",106,41.8974,-87.6287
"193",293,41.9652,-87.6581
"194",383,41.873,-87.6691
"195",196,41.8906,-87.6221
"196",462,41.9798,-87.6775
"197",252,41.8098,-87.5994
"198",268,41.9117,-87.6268
"199",461,41.984,-87.6603
"200",261,41.8715,-87.6699
"201",299,41.9437,-87.649
"202",337,41.8968,-87.6309
"203",61,41.9077,-87.6726
"204",219,41.916,-87.6773
"205",273,41.8578,-87.6246
"206",108,41.8718,-87.6466
"207",175,41.8726,-87.6335
"208",482,41.9615,-87.6912
"209",479,41.9612,-87.7166
"210",286,41.8794,-87.6355
"211",59,41.8672,-87.626
"212",3,41.8672,-87.6154
"213",172,41.9023,-87.6277
"214",87,41.9256,-87.6584
"215",471,41.9756,-87.7014
"216",309,41.9178,-87.6824
"217",447,42.008,-87.6655
"218",486,41.9543,-87.6861
"219",484,41.954,-87.7191
"220",188,41.9253,-87.6658
"221",180,41.9069,-87.6262
"222",329,41.9326,-87.6364
"223",215,41.8814,-87.6749
"224",224,41.9139,-87.6488
"225",225,41.9199,-87.6488
"226",125,41.8902,-87.6262
"227",198,41.8819,-87.6488
"228",144,41.9218,-87.6441
"229",285,41.8899,-87.6715
"230",55,41.8673,-87.6486
"231",657,41.8992,-87.6722
"232",5,41.8741,-87.6277
"233",136,41.8651,-87.657
"234",169,41.8743,-87.6396
"235",62,41.8514,-87.6188
"236",211,41.8944,-87.6227
"237",250,41.9361,-87.6698
"238",289,41.9121,-87.6347
"239",277,41.8911,-87.6666
"240",596,42.0482,-87.6835
"241",418,41.7993,-87.601
"242",328,41.7887,-87.6013
"243",322,41.7996,-87.5947
"244",655,41.9799,-87.6819
"245",423,41.7915,-87.5999
"246",600,42.0483,-87.6982
"247",474,41.9684,-87.7118
"248",476,41.9667,-87.7081
"249",525,42.0127,-87.6661
"250",292,41.9571,-87.6642
"251",141,41.9157,-87.6346
"252",160,41.9105,-87.6896
"253",526,42.0123,-87.6882
"254",137,41.8624,-87.6511
"255",291,41.9067,-87.6348
"256",80,41.8804,-87.6555
"257",54,41.8964,-87.6541
"258",166,41.9288,-87.6685
"259",295,41.9738,-87.6597
"260",640,41.9499,-87.7139
"261",350,41.896,-87.6677
"262",40,41.8793,-87.632
"263",37,41.8794,-87.6298
"264",21,41.8777,-87.6548
"265",31,41.8967,-87.6357
"266",347,41.9507,-87.6687
"267",88,41.8841,-87.6569
"268",459,41.984,-87.6523
"269",115,41.9363,-87.6527
"270",573,41.7508,-87.6244
"271",119,41.8859,-87.6672
"272",134,41.8776,-87.6496
"273",161,41.8958,-87.6259
"274",23,41.9029,-87.6377
"275",246,41.9561,-87.6688
"276",223,41.9182,-87.6569
"277",30,41.8996,-87.6677
"278",465,41.9716,-87.6502
"279",458,41.9897,-87.6601
"280",237,41.8421,-87.617
"281",147,41.8457,-87.6225
"282",42,41.8526,-87.6265
"283",69,41.9094,-87.6777
"284",19,41.869,-87.6591
"285",417,41.8024,-87.5869
"286",25,41.8977,-87.6235
"287",602,42.0643,-87.6862
"288",323,41.9695,-87.6547
"289",419,41.7995,-87.5865
"290",294,41.9784,-87.6598
"291",148,41.8347,-87.6258
"292",489,41.9473,-87.7176
"293",522,42.0195,-87.6696
"294",29,41.9007,-87.6626
"295",203,41.8541,-87.6858
"296",120,41.853,-87.6306
"297",216,41.903,-87.6975
"298",127,41.9259,-87.6493
"299",99,41.8926,-87.6145
"300",170,41.858,-87.6408
"301",163,41.9319,-87.6779
"302",183,41.9013,-87.6774
"303",375,41.8905,-87.7026
"304",501,41.9319,-87.7012
"305",128,41.8958,-87.6772
"306",89,41.875,-87.6331
"307",50,41.8759,-87.6306
"308",284,41.8779,-87.6241
"309",45,41.8762,-87.6244
"310",621,41.8841,-87.6543
"311",622,41.9004,-87.6967
"312",253,41.9688,-87.6577
"313",288,41.9181,-87.6437
"314",103,41.8715,-87.6409
"315",483,41.9534,-87.732
"316",132,41.8501,-87.6321
"317",342,41.8713,-87.6737
"318",130,41.9033,-87.6784
"319",317,41.8692,-87.671
"320",73,41.8804,-87.6427
"321",205,41.8579,-87.6687
"322",517,42.016,-87.675
"323",154,41.9395,-87.6638
"324",209,41.8495,-87.6406
"325",448,42.0046,-87.6807
"326",365,41.8994,-87.6485
"327",505,41.9241,-87.6765
"328",326,41.9671,-87.6674
"329",177,41.9263,-87.6308
"330",310,41.9201,-87.6779
"331",304,41.9491,-87.6486
"332",376,41.8895,-87.6882
"333",75,41.8772,-87.6394
"334",502,41.9267,-87.6977
"335",626,41.8675,-87.6322
"336",493,41.943,-87.6873
"337",60,41.9106,-87.6494
"338",162,41.9359,-87.6784
"339",334,41.9408,-87.6392
"340",6,41.887,-87.6128
"341",463,41.978,-87.668
"342",487,41.9522,-87.6981
"343",145,41.8986,-87.6219
"344",213,41.9102,-87.6823
"345",319,41.9326,-87.6659
"346",338,41.8576,-87.6194
"347",450,42.0018,-87.6888
"348",314,41.9579,-87.6736
"349",207,41.8436,-87.6454
"350",297,41.9615,-87.6714
"351",204,41.7949,-87.6187
"352",601,42.0636,-87.6987
"353",504,41.9246,-87.6893
"354",308,41.9434,-87.6796
"355",478,41.9659,-87.6936
"356",454,41.9948,-87.6603
"357",488,41.9463,-87.731
"358",206,41.8472,-87.6468
"359",248,41.7953,-87.5965
"360",41,41.8721,-87.6295
"361",315,41.9129,-87.6642
"362",316,41.9633,-87.6793
"363",555,41.803,-87.6647
"364",226,41.9397,-87.6589
"365",34,41.9268,-87.6344
"366",236,41.9076,-87.6386
"367",603,42.0505,-87.6778
"368",345,41.7932,-87.5878
"369",339,41.8382,-87.6451
"370",135,41.8538,-87.6466
"371",272,41.8388,-87.6219
"372",472,41.9749,-87.6925
"373",184,41.8309,-87.628
"374",453,41.9993,-87.6714
"375",4,41.8563,-87.6133
"376",146,41.8779,-87.662
"377",249,41.964,-87.6382
"378",124,41.855,-87.6757
"379",382,41.8747,-87.6864
"380",437,41.8619,-87.6935
"381",639,41.9658,-87.6454
"382",598,42.0258,-87.6841
"383",508,41.9097,-87.7166
"384",625,42.0417,-87.6807
"385",114,41.9494,-87.6545
"386",452,41.9942,-87.6894
"387",245,41.961,-87.6496
"388",451,42.001,-87.6612
"389",401,41.8427,-87.6355
"390",643,41.892,-87.6894
"391",14,41.8581,-87.6511
"392",464,41.9756,-87.6795
"393",398,41.7579,-87.5494
"394",149,41.8349,-87.6179
"395",228,41.9406,-87.6785
"396",330,41.9462,-87.6733
"397",15,41.8582,-87.6565
"398",604,42.0582,-87.6774
"399",432,42.0091,-87.6742
"400",631,41.8776,-87.6739
"401",122,41.875,-87.6733
"402",150,41.8386,-87.6082
"403",527,42.0189,-87.69
"404",282,41.8649,-87.6471
"405",656,41.886,-87.677
"406",457,41.9905,-87.6698
"407",354,42.0106,-87.6624
"408",552,41.8089,-87.6645
"409",519,42.017,-87.6777
"410",16,41.9103,-87.6701
"411",159,41.9078,-87.6859
"412",333,41.9071,-87.6673
"413",503,41.9244,-87.7154
"414",394,41.8708,-87.6312
"415",520,42.016,-87.6686
"416",267,41.8094,-87.5919
"417",280,41.8378,-87.6511
"418",193,41.8417,-87.6269
"419",477,41.9659,-87.7008
"420",231,41.9617,-87.6546
"421",659,41.8955,-87.682
"422",433,41.8736,-87.7049
"423",571,41.7584,-87.6141
"424",576,41.7513,-87.5976
"425",171,41.8551,-87.6541
"426",378,41.8845,-87.6963
"427",327,41.9215,-87.6538
"428",547,41.8235,-87.6656
"429",311,41.9689,-87.684
"430",416,41.8058,-87.5925
"431",658,41.903,-87.6838
"432",167,41.8492,-87.6756
"433",470,41.9757,-87.7093
"434",490,41.9452,-87.7067
"435",265,41.823,-87.6071
"436",262,41.8271,-87.6457
"437",9,41.8288,-87.6806
"438",276,41.9104,-87.6972
"439",449,42.0045,-87.6724
"440",218,41.8568,-87.6339
"441",491,41.9466,-87.6946
"442",480,41.961,-87.7059
"443",2,41.8765,-87.6205
"444",405,41.8308,-87.6325
"445",367,41.8307,-87.656
"446",274,41.8613,-87.6566
"447",278,41.8306,-87.6413
"448",475,41.969,-87.696
"449",469,41.9804,-87.7161
"450",497,41.9394,-87.7116
"451",412,41.8093,-87.6334
"452",208,41.8549,-87.6636
"453",510,41.9027,-87.7092
"454",356,41.7665,-87.5865
"455",413,41.8141,-87.597
"456",666,41.9072,-87.6556
"457",355,41.7736,-87.5675
"458",544,41.8803,-87.7745
"459",664,41.9394,-87.6833
"460",263,41.8362,-87.6135
"461",377,41.8846,-87.7063
"462",466,42.0121,-87.6829
"463",641,41.9142,-87.7168
"464",591,41.9488,-87.74
"465",518,41.8855,-87.7169
"466",281,41.8485,-87.6851
"467",495,41.9611,-87.729
"468",553,41.8084,-87.6565
"469",442,41.8491,-87.6951
"470",546,41.8232,-87.6766
"471",402,41.8385,-87.6354
"472",351,41.803,-87.6066
"473",594,41.8057,-87.6834
"474",424,41.7917,-87.5839
"475",403,41.8345,-87.6318
"476",509,41.9098,-87.7053
"477",279,41.8307,-87.6472
"478",467,42.0086,-87.6905
"479",422,41.7916,-87.6079
"480",662,42.0235,-87.6996
"481",492,41.9467,-87.6834
"482",12,41.7664,-87.5657
"483",661,42.057,-87.6866
"484",663,42.0649,-87.7153
"485",428,41.7804,-87.5914
"486",102,41.7735,-87.5853
"487",528,41.8854,-87.7265
"488",496,41.9394,-87.7236
"489",660,42.0046,-87.6614
"490",485,41.9536,-87.7093
"491",415,41.8023,-87.6181
"492",396,41.7588,-87.5664
"493",101,41.781,-87.5761
"494",200,41.8099,-87.6163
"495",514,42.0193,-87.6845
"496",559,41.7942,-87.6551
"497",336,41.8099,-87.6068
"498",410,41.8167,-87.6194
"499",645,41.8267,-87.6831
"500",575,41.7532,-87.605
"501",368,41.8392,-87.6656
"502",548,41.8236,-87.6509
"503",385,41.795,-87.6331
"504",271,41.8165,-87.6066
"505",393,41.7655,-87.6169
"506",11,41.7666,-87.5764
"507",570,41.7585,-87.6064
"508",574,41.7509,-87.6138
"509",400,41.7657,-87.605
"510",439,41.8535,-87.7051
"511",456,41.9912,-87.6836
"512",348,41.8538,-87.6957
"513",558,41.7928,-87.6644
"514",95,41.7789,-87.5866
"515",588,41.7439,-87.5752
"516",599,42.0397,-87.6994
"517",386,41.7929,-87.645
"518",532,41.8879,-87.7744
"519",373,41.8955,-87.7061
"520",445,41.844,-87.6953
"521",590,41.9537,-87.7406
"522",542,41.8801,-87.7632
"523",443,41.8446,-87.7159
"524",369,41.8301,-87.6703
"525",441,41.8482,-87.7054
"526",390,41.7801,-87.6297
"527",630,41.9611,-87.7357
"528",619,41.9246,-87.7279
"529",429,41.7737,-87.6056
"530",543,41.8758,-87.7553
"531",592,41.9606,-87.7454
"532",583,41.7466,-87.586
"533",554,41.8009,-87.6747
"534",427,41.7806,-87.6061
"535",589,41.9545,-87.7496
"536",468,41.9837,-87.6964
"537",540,41.8802,-87.7553
"538",440,41.8481,-87.7151
"539",438,41.8542,-87.7154
"540",549,41.814,-87.6666
"541",550,41.895,-87.7649
"542",642,41.8947,-87.7569
"543",270,41.7587,-87.5869
"544",399,41.7622,-87.5593
"545",407,41.823,-87.6266
"546",577,41.7512,-87.5853
"547",421,41.7934,-87.6159
"548",650,41.7689,-87.6359
"549",391,41.7691,-87.6446
"550",444,41.8445,-87.702
"551",455,41.9902,-87.6934
"552",388,41.7794,-87.6446
"553",538,41.8721,-87.7466
"554",551,41.8082,-87.6772
"555",494,41.9824,-87.7089
"556",533,41.8757,-87.7155
"557",352,41.7735,-87.5771
"558",436,41.8666,-87.6945
"559",563,41.7794,-87.6648
"560",536,41.8859,-87.7354
"561",670,41.9171,-87.7482
"562",572,41.757,-87.6246
"563",539,41.8776,-87.7454
"564",430,41.7801,-87.6159
"565",556,41.7997,-87.6572
"566",671,41.89,-87.6807
"567",535,41.8743,-87.7257
"568",653,41.7806,-87.5848
"569",578,41.7518,-87.5785
"570",531,41.8877,-87.7655
"571",524,41.8949,-87.7747
"572",541,41.873,-87.7645
"573",647,41.7867,-87.6559
"574",435,41.8665,-87.7065
"575",651,41.7653,-87.6217
"576",446,41.8415,-87.6851
"577",408,41.8191,-87.6433
"578",585,41.7434,-87.6048
"579",582,41.7445,-87.5651
"580",649,41.7798,-87.6348
"581",595,41.7366,-87.6226
"582",586,41.7431,-87.6148
"583",587,41.7433,-87.6228
"584",584,41.7441,-87.599
"585",567,41.7689,-87.6529
"586",411,41.8081,-87.6456
"587",580,41.7517,-87.5528
"588",581,41.7446,-87.5512
"589",675,41.8899,-87.6803
"590",560,41.7868,-87.6662
"591",530,41.8878,-87.7555
"592",384,41.8018,-87.6452
"593",569,41.7592,-87.5958
"594",646,41.7966,-87.6259
"595",579,41.7518,-87.5652
"596",409,41.8162,-87.6348
"597",431,41.7841,-87.6133
"598",392,41.7693,-87.6282
"599",395,41.7571,-87.5758
"600",534,41.8809,-87.7279
"601",648,41.7799,-87.6509
"602",557,41.7941,-87.6755
"603",537,41.8807,-87.741
"604",545,41.8779,-87.7357
"605",529,41.8868,-87.7453
"606",593,41.7875,-87.6449
"607",562,41.7832,-87.6544
"608",566,41.7687,-87.6641
"609",NA,NA,NA
